Grupo Vehiculo;Placa;digito;Codigo SII;A�o Veh�culo;Tasacion;Tipo de Pago;Valor_Neto;Valor_IPC;Valor_Multa;Valor Pagado;Forma Pago;Fecha_Pago;A�o Permiso;Tipo Vehiculo;Marca;Modelo;Color;Transmisi�n;Tipo Combustible;Cilindrada;Equipamiento;Numero Puertas;
Vehiculo Liviano;YVV-301;7;NULL;1995;0.5;Presencial;25489;0;0;25489;Total;03/01/2022;2021;CARRO ARRASTRE A;ELDDIS;MISTRAL XL;BLANCO;NULL;NULL;NULL;NULL;0;
Vehiculo Liviano;JVCX-30;6;SD050030517;2017;4550702;Presencial;34316;1316;2394;38026;2da. Cuota;03/01/2022;2021;AUTOMOVIL;CHEVROLET;SAIL NB 1.5L;BLANCO;Mec;Benc;1500;Equi;4;
Vehiculo Liviano;XN-5859;4;SD111013504;2004;2292467;Presencial;30953;1427;4037;36417;Total;04/01/2022;2021;AUTOMOVIL;HYUNDAI;ELANTRA;AZULINO;Aut;Benc;1800;Full;4;
Vehiculo Liviano;TS-4202;0;CO184001800;2000;1322987;Presencial;30953;1427;4037;36417;Total;06/01/2022;2021;MINIBUS;PEUGEOT;BOXER TOLE 270 C DH;BLANCO;Mec;Dies;2000;Norm;2;
Vehiculo Liviano;TS-4202;0;CO184001800;2000;1410000;Presencial;35973;2210;8926;47109;Total;06/01/2022;2020;MINIBUS;PEUGEOT;BOXER TOLE 270 C DH;BLANCO;Mec;Dies;2000;Norm;2;
Vehiculo Liviano;TS-4202;0;CO184001800;2000;1520000;Presencial;41143;3070;13896;58109;Total;06/01/2022;2019;MINIBUS;PEUGEOT;BOXER TOLE 270 C DH;BLANCO;Mec;Dies;2000;Norm;2;
Carga;LWRF-41;4;NULL;2020;1;Presencial;57170;1773;3236;62179;Total;06/01/2022;2021;CAMION;JMC;CARRYING 2.5 TSC;BLANCO;MEC;DIES;2500;NORM;0;
Vehiculo Liviano;TS-4202;0;CO184001800;2000;1620000;Presencial;45772;3574;18688;68034;Total;06/01/2022;2018;MINIBUS;PEUGEOT;BOXER TOLE 270 C DH;BLANCO;Mec;Dies;2000;Norm;2;
Vehiculo Liviano;TS-4202;0;CO184001800;2000;1690000;Presencial;50875;4091;23669;78635;Total;06/01/2022;2017;MINIBUS;PEUGEOT;BOXER TOLE 270 C DH;BLANCO;Mec;Dies;2000;Norm;2;
Vehiculo Liviano;HTHT-72;6;SD197012716;2016;3884516;Presencial;26750;1026;1866;29642;2da. Cuota;07/01/2022;2021;AUTOMOVIL;RENAULT;SYMBOL EXPRESSION MT;BEIGE CENIZA;Mec;Benc;1600;Full;4;
Vehiculo Liviano;CFTZ-67;6;SD050023910;2010;2364488;Presencial;30953;1427;4037;36417;Total;07/01/2022;2021;AUTOMOVIL;CHEVROLET;CORSA III NB 4P 1.6 PWR;BLANCO HIELO;Mec;Benc;1600;Equi;4;
Vehiculo Liviano;LE-8210;9;CT079002394;1994;741248;Presencial;30953;1427;4037;36417;Total;07/01/2022;2021;CAMIONETA;FORD;RANGER XLT SUPER CAB;GRIS OSCURO;Mec;Benc;2300;Full;2;
Vehiculo Liviano;WR-0961;0;MT254029315;2015;1180114;Presencial;30953;1427;4037;36417;Total;07/01/2022;2021;MOTO;YAMAHA;YZF;NEGRO;Mec;Benc;150;Norm;0;
Vehiculo Liviano;XN-2177;1;CT050017604;2004;2129916;Presencial;30953;1427;4037;36417;Total;07/01/2022;2021;CAMIONETA;CHEVROLET;S10;PLATEADO;Mec;Benc;2400;Full;4;
Vehiculo Liviano;FJGG-93;6;SD050026513;2013;2786718;Presencial;33842;1561;4414;39817;Total;07/01/2022;2021;AUTOMOVIL;CHEVROLET;SAIL NB 1.4;BLANCO;Mec;Benc;1400;Norm;4;
Vehiculo Liviano;LE-8210;9;CT079002394;1994;790000;Presencial;35973;2210;8926;47109;Total;07/01/2022;2020;CAMIONETA;FORD;RANGER XLT SUPER CAB;GRIS OSCURO;Mec;Benc;2300;Full;2;
Vehiculo Liviano;RPCW-51;1;NULL;2022;0;Presencial;56627;278;837;57742;Total;07/01/2022;2021;CAMIONETA;MITSUBISHI;NEW L-200 KATANA 2.4 CRT EPECIAL PACK MEC;BLANCO FAIRY;NULL;DIES;2400;FULL;0;
Carga;ZB-4514;7;NULL;2006;2;Presencial;114341;3547;6472;124360;Total;07/01/2022;2021;CAMION;HINO;XZU 422;BLANCO;NULL;NULL;NULL;NULL;0;
Carga;PK-4390;3;NULL;1996;3;Presencial;171511;5320;9708;186539;Total;07/01/2022;2021;CAMION;MERCEDES BENZ;1718 E 48;AZUL;NULL;NULL;NULL;NULL;0;
Vehiculo Liviano;UR-9579;2;SD243009502;2002;1473114;Presencial;30953;1427;4037;36417;Total;10/01/2022;2021;AUTOMOVIL;VOLKSWAGEN;POLO;ROJO FLASH;Mec;Benc;1600;Equi;4;
Vehiculo Liviano;UR-9579;2;SD243009502;2002;1570000;Presencial;35973;2210;8926;47109;Total;10/01/2022;2020;AUTOMOVIL;VOLKSWAGEN;POLO;ROJO FLASH;Mec;Benc;1600;Equi;4;
Transporte Publico;CGYW-54;1;NULL;2010;1;Presencial;60915;2590;6527;70032;Total;10/01/2022;2021;MINIBUS PRIVADO;TOYOTA;HI ACE;AZUL OSC. MICA METALICO;MEC;DIES;2500;EQUI;4;
Transporte Publico;CGYW-54;1;NULL;2010;1;Presencial;70723;4030;16321;91074;Total;10/01/2022;2020;MINIBUS PRIVADO;TOYOTA;HI ACE;AZUL OSC. MICA METALICO;MEC;DIES;2500;EQUI;4;
Vehiculo Liviano;DTPF-19;6;CT243003912;2012;7325687;Presencial;155456;7169;20277;182902;Total;10/01/2022;2021;CAMIONETA;VOLKSWAGEN;AMAROK POWER PLUS 4X4 PE;ROJO TORNADO METALICO;Mec;Dies;2000;Full;4;
Vehiculo Liviano;JDZZ-17;0;VN121004117;2017;20254526;Presencial;335615;12871;23415;371901;2da. Cuota;10/01/2022;2021;STATION WAGON;JEEP;GRAND CHEROKEE;BLANCO;Aut;Benc;3600;Full;4;
Vehiculo Liviano;PHPD-89;9;SU192006921;2021;85091000;Presencial;1992158;76401;138988;2207547;2da. Cuota;10/01/2022;2021;STATION WAGON;PORSCHE;MACAN;BLANCO CARRARA METALIZADO;Aut;Benc;3000;NULL;4;
Vehiculo Liviano;XB-3687;8;CT050019604;2004;2098672;Presencial;29774;720;4217;34711;Total;11/01/2022;2020;CAMIONETA;CHEVROLET;LUV GLX CC 2.8D AC;AZUL PETROL PERLEZE;Mec;Dies;2800;Full;4;
Vehiculo Liviano;TX-2254;0;HB184003100;2000;1144713;Presencial;30953;1427;4037;36417;Total;11/01/2022;2021;AUTOMOVIL;PEUGEOT;306 XR;BLANCO BANQUISA;Mec;Benc;1600;Equi;4;
Vehiculo Liviano;TX-2254;0;HB184003100;2000;1220000;Presencial;35973;2210;8926;47109;Total;11/01/2022;2020;AUTOMOVIL;PEUGEOT;306 XR;BLANCO BANQUISA;Mec;Benc;1600;Equi;4;
Vehiculo Liviano;XB-3687;8;CT050019604;2004;2230000;Presencial;36059;1765;10117;47941;Total;11/01/2022;2019;CAMIONETA;CHEVROLET;LUV GLX CC 2.8D AC;AZUL PETROL PERLEZE;Mec;Dies;2800;Full;4;
Vehiculo Liviano;FLBC-62;4;VN050005313;2013;6030000;Presencial;55595;1703;7874;65172;2da. Cuota;11/01/2022;2020;STATION WAGON;CHEVROLET;ORLANDO LS 2.0LD 6MT;BLANCO;Mec;Dies;2000;Full;4;
Vehiculo Liviano;WW-5221;4;CT166004007;2007;4840000;Presencial;76236;1072;8168;85476;Total;11/01/2022;2020;CAMIONETA;MITSUBISHI;L200 D/C TD DAKAR CRS AT 4X4;PLATEADO PLATA METALICO;Aut;Dies;2500;Full;4;
Vehiculo Liviano;CM-0921;4;NULL;2015;4873500;Presencial;81222;3745;10594;95561;Total;11/01/2022;2021;MOTO;HONDA;CB500X;NEGRO;NULL;NULL;NULL;NULL;0;
Vehiculo Liviano;CM-0921;4;NULL;2015;4873500;Presencial;98005;6022;24317;128344;Total;11/01/2022;2020;MOTO;HONDA;CB500X;NEGRO;NULL;NULL;NULL;NULL;0;
Vehiculo Liviano;CM-0921;4;NULL;2015;4873500;Presencial;116500;8694;39348;164542;Total;11/01/2022;2019;MOTO;HONDA;CB500X;NEGRO;NULL;NULL;NULL;NULL;0;
Carga;SP-8738;4;NULL;1999;3;Presencial;171511;5320;9708;186539;Total;11/01/2022;2021;CAMION;MERCEDES BENZ;1720 48;BLANCO;NULL;NULL;NULL;NULL;2;
Vehiculo Liviano;FZGW-10;9;CT065003114;2014;2427387;Presencial;30953;1427;4037;36417;Total;12/01/2022;2021;CAMIONETA;DFSK;TRUCK SC XL 1.3;BLANCO;Mec;Benc;1300;Norm;2;
Vehiculo Liviano;CSWS-56;9;VN064002611;2011;5442076;Presencial;95033;4382;12396;111811;Total;12/01/2022;2021;STATION WAGON;DODGE;JOURNEY SXT 2.7L AT;GRAFITO;Aut;Benc;2700;Full;4;
Vehiculo Liviano;CSWS-56;9;VN064002611;2011;5800000;Presencial;124843;7671;30976;163490;Total;12/01/2022;2020;STATION WAGON;DODGE;JOURNEY SXT 2.7L AT;GRAFITO;Aut;Benc;2700;Full;4;
Vehiculo Liviano;JXPY-76;9;SU229031818;2018;9645611;Presencial;239975;11066;31301;282342;Total;12/01/2022;2021;STATION WAGON;SUZUKI;VITARA;BEIGE TECHO  NEGRO;Mec;Benc;1400;Full;4;
Vehiculo Liviano;JXPY-76;9;SU229031818;2018;10280000;Presencial;317177;19490;78698;415365;Total;12/01/2022;2020;STATION WAGON;SUZUKI;VITARA;BEIGE TECHO  NEGRO;Mec;Benc;1400;Full;4;
Vehiculo Liviano;DLCT-24;6;HB111009712;2012;2495849;Presencial;30953;1427;4037;36417;Total;13/01/2022;2021;AUTOMOVIL;HYUNDAI;I10;CELESTE PLATA;Mec;Benc;1100;Equi;4;
Vehiculo Liviano;UX-9770;4;HB057000902;2002;1238541;Presencial;30953;1427;4037;36417;Total;13/01/2022;2021;AUTOMOVIL;DAEWOO;LANOS S;NEGRO GRIS;Mec;Benc;1500;Equi;4;
Vehiculo Liviano;UX-9770;4;HB057000902;2002;1320000;Presencial;35973;2210;8926;47109;Total;13/01/2022;2020;AUTOMOVIL;DAEWOO;LANOS S;NEGRO GRIS;Mec;Benc;1500;Equi;4;
